task,penetration
"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",0.0
"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",0.0
"Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.",0.0
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0.0
"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.0
"Develop, prepare, and coordinate grant applications and grant-related activities to obtain funding for health education programs and related work.",0.0
"Develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",0.8805
"Develop, recommend, or manage security procedures for operations or processes, such as security call centers, access control, and reporting tools.",0.0
"Develop, sell, or lease property used for industry or manufacturing.",0.0
"Develop, standardize, evaluate, or modify procedures, techniques, or tests used in the analysis of specimens or in medical laboratory experiments.",0.8472
"Develop, test, or program new robots.",0.0
"Develop, validate, and document test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.",0.0
Devise and choreograph dance for self or others.,0.0
"Devise and construct tools, dies, molds, jigs, and fixtures, or modify existing tools and equipment.",0.0
"Devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.",0.9053
"Devise and participate in activities to improve fish hatching and growth rates, and to prevent disease in hatcheries.",0.0
Devise automated lab validation test stations or other test fixtures or equipment.,0.0
Devise cultural methods or environmental controls for plants for which guidelines are sketchy or nonexistent.,0.0
Devise debt liquidation plans that include payoff priorities and timelines.,0.0
"Devise microelectromechanical systems (MEMS) production methods, such as integrated circuit fabrication, lithographic electroform modeling, or micromachining.",0.0
"Devise missions, challenges, or puzzles to be encountered in game play.",0.0
Devise or apply independent models or tools to help verify results of analytical systems.,0.0
"Devise or build fixtures or jigs used to hold parts in place during welding, brazing, or soldering.",0.0
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",0.7924
Devise programs to develop executive potential among employees in lower-level positions.,0.0
Devise scenario analyses reflecting possible severe market events.,0.0
"Devise solutions to problems of land reclamation and water and air pollution, such as methods of storing excavated soil and returning exhausted mine sites to natural states.",0.0
Devise systems or processes to monitor validity of risk assessments.,0.0
Devise testing methods to evaluate the effects of various conditions on particular materials.,0.0
"Devise trading, option, or hedge strategies.",0.9476
Devise ways in which congregational membership can be expanded.,0.0
"Devise, fabricate, or assemble new or modified mechanical components for products such as industrial machinery or equipment, and measuring instruments.",0.0
"Devise, select, or purchase domain name and web address.",0.0
Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.,0.0
"Diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",1.0
Diagnose and repair furnace or air conditioning systems.,0.0
Diagnose and repair vehicle heating and cooling systems.,0.0
"Diagnose and replace or repair engine management systems or related sensors for flexible fuel vehicles (FFVs) with ignition timing, fuel rate, alcohol concentration, or air-to-fuel ratio malfunctions.",0.0
Diagnose and resolve media system problems.,0.0
"Diagnose and treat conditions involving injury to the central nervous system, such as cerebrovascular accidents, neoplasms, infectious or inflammatory diseases, degenerative diseases, head traumas, demyelinating diseases, and various forms of dementing illnesses.",0.0
"Diagnose and treat conditions such as chemical dependency, alcohol dependency, Acquired Immune Deficiency Syndrome (AIDS) dementia, and environmental toxin exposure.",0.0
"Diagnose and treat diseases, injuries, or malformations of teeth, gums, or related oral structures and provide preventive or corrective services.",0.0
Diagnose and treat hearing or related disabilities under the direction of an audiologist.,0.0
"Diagnose and treat neural and psychological conditions in medical and surgical populations, such as patients with early dementing illness or chronic pain with a neurological basis.",0.0
Diagnose and treat pediatric populations for conditions such as learning disabilities with developmental or organic bases.,0.0
"Diagnose and treat pigmented lesions such as common acquired nevi, congenital nevi, dysplastic nevi, Spitz nevi, blue nevi, or melanoma.",0.0
"Diagnose and treat psychiatric populations for conditions such as somatoform disorder, dementias, and psychoses.",0.0
"Diagnose and treat skin conditions such as acne, dandruff, athlete's foot, moles, psoriasis, or skin cancer.",0.0
"Diagnose bodily disorders and orthopedic conditions, and provide treatments, such as medicines and surgeries, in clinics, hospital wards, or operating rooms.",0.0
"Diagnose cardiovascular conditions, using cardiac catheterization.",0.0
"Diagnose diseases and deformities of the foot using medical histories, physical examinations, x-rays, and laboratory test results.",0.0
"Diagnose diseases or study medical conditions, using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, or molecular biology.",0.0
Diagnose electrical problems and install and rewire electrical components.,0.0
"Diagnose faults or malfunctions to determine required repairs, using engine diagnostic equipment such as computerized test equipment and calibration devices.",0.0
"Diagnose health conditions, based on patients' symptoms and health histories, laboratory and diagnostic radiology test results, or other physiological measurements, such as electrocardiograms and electroencephalographs.",0.0
"Diagnose health problems by reviewing patients' health and medical histories, questioning, observing, and examining patients and interpreting x-rays.",0.0
"Diagnose illnesses, using examinations, tests, and reports.",0.0
"Diagnose infections, such as Hepatitis B and Acquired Immune Deficiency Syndrome (AIDS), by conducting tests to detect the antibodies that patients' immune systems make to fight such infections.",0.0
Diagnose machine tool malfunctions to determine need for adjustments or repairs.,0.0
"Diagnose malfunctioning systems, apparatus, or components, using test equipment and hand tools to locate the cause of a breakdown and correct the problem.",0.0
"Diagnose mechanical problems and determine how to correct them, checking blueprints, repair manuals, or parts catalogs, as necessary.",0.0
"Diagnose medical conditions of patients, using records, reports, test results, or examination information.",0.7239
"Diagnose neurological conditions based on interpretation of examination findings, histories, or test results.",0.0
"Diagnose or repair problems with electronic equipment, such as sound, navigation, communication, and security equipment, in motor vehicles.",0.0
"Diagnose or treat acute health care problems, such as illnesses, infections, or injuries.",0.0
Diagnose or treat allergic or immunologic conditions.,0.0
"Diagnose or treat chronic health care problems, such as high blood pressure and diabetes.",0.0
"Diagnose or treat complex, unstable, comorbid, episodic, or emergency conditions in collaboration with other health care providers as necessary.",0.0
"Diagnose or treat diseases or disorders of genitourinary organs and tracts including erectile dysfunction (ED), infertility, incontinence, bladder cancer, prostate cancer, urethral stones, or premature ejaculation.",0.0
Diagnose or treat disorders of the musculoskeletal system.,0.0
"Diagnose or treat injuries, disorders, or diseases of the eye and eye structures including the cornea, sclera, conjunctiva, or eyelids.",0.0
"Diagnose or treat performance-related conditions, such as sports injuries or repetitive-motion injuries.",0.0
Diagnose or troubleshoot problems with gas collection systems.,0.0
Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.,0.0
Diagnose problems involving wind turbine generators or control systems.,0.0
Diagnose problems with installed equipment.,0.0
Diagnose psychiatric disorders and mental health conditions.,0.0
Diagnose teeth and jaw or other dental-facial abnormalities.,0.0
"Diagnose, treat, or provide continuous care to hospital inpatients.",0.0
"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",0.9351
"Diagram layouts and locations for photovoltaic (PV) arrays and equipment, including existing building or site features.",0.0
Diagram supply chain models to help facilitate discussions with customers.,0.0
"Dig ditches or trenches, backfill excavations, or compact and level earth to grade specifications, using picks, shovels, pneumatic tampers, or rakes.",0.0
Dig drainage ditches around wells and storage tanks.,0.0
"Dig holes for power poles, using power augers or shovels, set poles in place with cranes, and hoist poles upright, using winches.",0.0
Dig holes or trenches as necessary for equipment installation and access.,0.0
"Dig holes, set forms, and mix and pour concrete into forms to make foundations for wood or steel derricks.",0.0
"Dig holes, set forms, and mix and pour concrete, for foundations of steel or wooden derricks.",0.0
"Dig holes, using augers, and set poles, using cranes and power equipment.",0.0
Dig or direct digging of post holes and set poles to support structures.,0.0
"Dig out sewer lines manually, using shovels.",0.0
"Dig postholes, using spades, posthole diggers, or power-driven augers.",0.0
"Dig trench for foundation of monument, using pick and shovel.",0.0
Dig trenches for system piping to appropriate depths and lay piping in trenches.,0.0
Dig trenches for underground wires or cables.,0.0
Dig trenches or holes for installation of conduit or supports.,0.0
"Dig trenches to desired or required depths, by hand or using trenching tools.",0.0
Dig trenches.,0.0
"Dig up and burn weeds, or spray them with herbicides.",0.0
"Dig, cut, and transplant seedlings, cuttings, trees, and shrubs.",0.0
"Dig, rake, and screen soil, filling cold frames and hot beds in preparation for planting.",0.0
"Dip, brush, or spray assembled articles with protective or decorative finishes, such as stain, varnish, paint, or lacquer.",0.0
Direct acquisition of land for construction projects.,0.0
"Direct activities for stopping the spread of infections in facilities, such as hospitals.",0.0
Direct activities of accounting or operations departments.,0.0
"Direct activities of administrative departments, such as admissions, registration, and career services.",0.0
Direct activities of aircraft crews during flights.,0.0
"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",0.0
"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",0.0
Direct activities of one or more workers who assist in preparing and serving meals.,0.0
"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.",0.0
Direct activities of professional and technical staff members and volunteers.,0.0
Direct activities of technicians engaged in preparing drawings or specification documents.,0.0
Direct activities of workers assisting in control or verification of processes or in unloading of materials.,0.0
"Direct activities of workers conducting autopsies, performing pathological and toxicological analyses, and preparing documents for permanent records.",0.0
Direct activities of workers in laboratory.,0.0
Direct activities of workers setting up photographic equipment.,0.0
"Direct activities of workers who assist in arranging, cataloguing, exhibiting, and maintaining collections of valuable materials.",0.0
"Direct activities of workers who operate or are engaged in constructing and improving absorption, evaporation, or electromagnetic equipment.",0.0
"Direct activities of workers who perform duties, such as landscaping, cultivating lawns, or pruning trees and shrubs.",0.0
"Direct activities of workers who search records and examine titles, assigning, scheduling, and evaluating work, and providing technical guidance as necessary.",0.0
Direct administrative activities directly related to making products or providing services.,0.0
"Direct administrative details, such as financial operations, dissemination of promotional materials, and responses to inquiries.",0.0
Direct aerial surveys of specified geographical areas.,0.0
Direct aerospace research and development programs.,0.0
"Direct all activity associated with implementation, operation, or enhancement of remote sensing hardware or software.",0.0
"Direct and assist passengers in emergency procedures, such as evacuating a plane following an emergency landing.",0.0
"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",0.0
Direct and coordinate activities of assistants and other personnel during production.,0.0
"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",0.0
"Direct and coordinate activities of nurses, assistants, specialists, residents, and other medical staff.",0.0
"Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.",0.0
"Direct and coordinate activities of personnel engaged in broadcast news, sports, or programming.",0.0
"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies.",0.0
"Direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions.",0.0
"Direct and coordinate activities of teachers, administrators, and support staff at schools, public agencies, and institutions.",0.0
"Direct and coordinate construction, erection, or decoration activities to ensure that sets or exhibits meet design, budget, and schedule requirements.",0.0
"Direct and coordinate law office activity, including delivery of subpoenas.",0.0
"Direct and coordinate operational, management, and supportive services of one or a number of postal facilities.",0.0
Direct and coordinate plant workers engaged in routine operations and maintenance activities.,0.0
Direct and coordinate product research and development.,0.0
Direct and coordinate school maintenance services and the use of school facilities.,0.0
"Direct and coordinate the activities of employees engaged in the production or processing of goods, such as inspectors, machine setters, or fabricators.",0.0
Direct and coordinate the activities of staff and contract personnel and evaluate their performance.,0.0
Direct and coordinate the fabrication of models or samples and the drafting of working drawings and specification sheets from sketches.,0.0
Direct and coordinate workers involved in drawing and cutting patterns and constructing samples or finished garments.,0.0
"Direct and execute pre-production activities, such as creating moodboards or storyboards and establishing a project timeline.",0.0
"Direct and instruct workers engaged in yard activities, such as switching tracks, coupling and uncoupling cars, and routing inbound and outbound traffic.",0.0
"Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.",0.0
"Direct and monitor the completion and evaluation of wells, well testing, or well surveys.",0.0
"Direct and monitor the transfer of mature fish to lakes, ponds, streams, or commercial tanks.",0.0
Direct and monitor the work of casual and seasonal help during planting and harvesting.,0.0
"Direct and monitor trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.",0.0
"Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants, and consultants to gather information and discuss findings.",0.0
"Direct and participate in institutional fundraising activities, and encourage alumni participation in such activities.",0.0
"Direct and participate in on- and off-campus recreational activities for residents of institutions, boarding schools, fraternities or sororities, children's homes, or similar establishments.",0.0
"Direct and review the work of staff members, including survey support staff and interviewers who gather survey data.",0.0
Direct and stage dance presentations for various forms of entertainment.,0.0
Direct and supervise construction or related workers.,0.0
"Direct and supervise curatorial, technical, and student staff in the handling, mounting, care, and storage of art objects.",0.0
"Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or in performing services for customers.",0.0
"Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.",0.0
"Direct and supervise work of embalmers, funeral attendants, death certificate clerks, cosmetologists, or other staff.",0.0
Direct and support the compilation and analysis of technical source data necessary for product development.,0.0
"Direct and train library staff in duties, such as receiving, shelving, researching, cataloging, and equipment use.",0.0
"Direct and train other workers to change rolls, operate mill equipment, remove coils and cobbles, and band and load material.",0.0
Direct and transport workers to appropriate work sites.,0.0
"Direct availability and allocation of materials, supplies, and finished products.",0.0
"Direct balance of plant (BOP) construction, generator installation, testing, commissioning, or supervisory control and data acquisition (SCADA) to ensure compliance with specifications.",0.0
Direct bands or orchestras.,0.0
Direct casket and floral display placement and arrange guest seating.,0.0
"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",0.0
"Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",0.0
"Direct collection, preparation, and handling of evidence and personal property of prisoners.",0.0
"Direct courses and speeds of ships, based on specialized knowledge of local winds, weather, water depths, tides, currents, and hazards.",0.0
Direct crane operators and crew members to load vessels with materials to be processed.,0.0
Direct crews to reload freight or to insert additional bracing or packing as necessary.,0.0
Direct crews working on firelines during forest fires.,0.0
"Direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, and harvesting.",0.0
"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",0.0
"Direct daily operations of departments, coordinating project activities with other departments.",0.0
Direct delivery trucks to shipping doors or designated marshaling areas and help load and unload goods safely.,0.0
Direct documentation efforts to ensure compliance with domestic and international regulations and standards.,0.0
"Direct drilling crews performing activities such as assembling and connecting pipe, applying weights to drill pipes, or drilling around lodged obstacles.",0.0
Direct emergency evacuation procedures.,0.0
"Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.",0.0
"Direct engineers to move cars to fit planned train configurations, combining or separating cars to make up or break up trains.",0.0
Direct environmental compliance activities associated with nuclear plant operations or maintenance.,0.0
"Direct environmental programs, such as air or water compliance, aboveground or underground storage tanks, spill prevention or control, hazardous waste or materials management, solid waste recycling, medical waste management, indoor air quality, integrated pest management, employee training, or disaster preparedness.",0.0
Direct facility maintenance or repair.,0.0
"Direct firefighters in station maintenance duties, and participate in these duties.",0.0
"Direct fishing or hunting operations, and supervise crew members.",0.0
Direct forecasting services at weather stations or at radio or television broadcasting facilities.,0.0
Direct foreign sales and service outlets of an organization.,0.0
Direct fundraising activities and the preparation of public relations materials.,0.0
"Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.",0.0
"Direct ground traffic, including taxiing aircraft, maintenance or baggage vehicles, or airport workers.",0.0
"Direct ground workers engaged in activities such as moving stakes or markers, or changing positions of towers.",0.0
Direct group rehabilitation activities.,0.0
"Direct groups at rehearsals and live or recorded performances to achieve desired effects such as tonal and harmonic balance dynamics, rhythm, and tempo.",0.0
"Direct helpers engaged in pipe cutting, preassembly, or installation of plumbing systems or components.",0.0
Direct helpers engaged in placing blocking or outrigging under cranes.,0.0
"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0.0
"Direct inbound or outbound operations, such as transportation or warehouse activities, safety performance, and logistics quality management.",0.0
"Direct installation of covert surveillance equipment, such as security cameras.",0.0
Direct installation or operation of environmental monitoring devices or supervise related data collection programs.,0.0
Direct installation or testing of new remote sensing hardware or software.,0.0
"Direct insurance negotiations, select insurance brokers or carriers, and place insurance.",0.0
"Direct investigation of cases of suspected arson, hazards, and false alarms and submit reports outlining findings.",0.0
"Direct items according to established routing schemes, using computer-controlled keyboards or voice-recognition equipment.",0.0
"Direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",0.0
"Direct loss prevention audit programs including target store audits, maintenance audits, safety audits, or electronic article surveillance (EAS) audits.",0.0
"Direct maintenance and repair of firefighting equipment, or requisition new equipment.",0.0
"Direct marketing, advertising, or other customer recruitment efforts.",0.0
"Direct measurement of the intensity or types of radiation in work areas, equipment, or materials.",0.0
"Direct motorists to parking areas or parking spaces, using hand signals or flashlights as necessary.",0.0
"Direct movements of vessels in locks or bridge areas, using signals, telecommunication equipment, or loudspeakers.",0.0
"Direct non-merchandising departments of businesses, such as advertising or purchasing.",0.0
"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0.0
"Direct nuclear medicine technologists or technicians regarding desired dosages, techniques, positions, and projections.",0.0
Direct operating or maintenance activities of nuclear power plants to ensure efficiency and conformity to safety standards.,0.0
"Direct operations, maintenance, or repair of hydroelectric power facilities.",0.0
Direct or assist with the adjustment or repair of equipment or machinery.,0.0
"Direct or assist workers engaged in the maintenance or repair of equipment, such as power tools or motorized equipment.",0.0
"Direct or assist workers placing shore anchors and cables, laying additional pipes from dredges to shore, and pumping water from pontoons.",0.0
"Direct or conduct recruitment, hiring, and training of personnel.",0.0
Direct or conduct studies or research on issues affecting areas of responsibility.,0.0
"Direct or conduct surveys to establish legal boundaries for properties, based on legal deeds and titles.",0.0
"Direct or coordinate Web-based fundraising activities, such as online auctions or donation Web sites.",0.0
"Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems.",0.0
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.0
"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",0.0
"Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.",0.0
Direct or coordinate activities of project personnel.,0.9785
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.0
Direct or coordinate bakery deliveries.,0.0
"Direct or coordinate crew members or workers performing activities such as loading or unloading cargo, steering vessels, operating engines, or operating, maintaining, or repairing ship equipment.",0.0
"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.0
"Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",0.0
"Direct or coordinate manufacturing, construction, installation, maintenance, support, documentation, or testing activities to ensure compliance with specifications, codes, or customer requirements.",0.0
"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",0.0
Direct or coordinate the activities of entertainment and recreation related workers.,0.0
"Direct or coordinate the activities of workers, such as flight or car attendants.",0.0
"Direct or coordinate the activities of workers, such as hotel staff or hair stylists.",0.0
Direct or coordinate the daily activities or training of security staff.,0.0
"Direct or coordinate the supportive services department of a business, agency, or organization.",0.0
Direct or escort mourners to parlors or chapels in which wakes or funerals are being held.,0.0
"Direct or escort pedestrians across streets, stopping traffic, as necessary.",0.0
"Direct or manage prevention programs in specialty areas such as aerospace, occupational, infectious disease, and environmental medicine.",0.0
"Direct or monitor administrative, support, repair, or maintenance services for funeral homes.",0.0
Direct or monitor other workers producing chemical products.,0.0
Direct or monitor the quarantine and treatment or destruction of plants or plant products.,0.0
Direct or monitor work of press crews.,0.0
Direct or participate in cargo loading to ensure completeness of load and even distribution of weight.,0.0
Direct or participate in emergency management and contingency planning.,0.0
"Direct or participate in surveying to lay out installations or establish reference points, grades, or elevations to guide construction.",0.0
"Direct or perform mixing or application of fertilizers, insecticides, herbicides, or fungicides.",0.0
Direct or provide home health services.,0.0
"Direct or supervise fundraising staff, including volunteer staff members.",0.0
Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.,0.0
Direct or supervise nursing care staff in the provision of patient therapy.,0.0
Direct or support quality improvement projects or safety programs.,0.0
"Direct or train workers to install, maintain, or repair electrical wiring, equipment, or fixtures.",0.0
"Direct other workers to move stakes, place blocks, position anchors or cables, or move materials.",0.0
"Direct participants to assigned areas, such as starting blocks or penalty areas.",0.0
Direct passengers to areas where they can pick up their baggage after screening is complete.,0.0
Direct patients in simple prescribed exercises or in the use of braces or artificial limbs.,0.0
"Direct patrons to coatrooms and waiting areas, such as lounges.",0.0
"Direct patrons to rides, seats, or attractions.",0.0
"Direct personnel engaged in controlling or operating distribution equipment or machinery, such as instructing control room operators to start boilers or generators.",0.0
Direct pilots to runways when space is available or direct them to maintain a traffic pattern until there is space for them to land.,0.0
"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",0.0
Direct preparations and shipment of bodies for out-of-state burial.,0.0
Direct product testing activities throughout production cycles.,0.0
"Direct public health education programs dealing with topics such as preventable diseases, injuries, nutrition, food service sanitation, water supply safety, sewage and waste disposal, insect control, and immunizations.",0.0
"Direct reactor operators in emergency situations, in accordance with emergency operating procedures.",0.0
"Direct recruitment, placement, and evaluation of architecture or engineering project staff.",0.0
Direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,0.0
Direct release or transfer of prisoners.,0.0
Direct research of other teachers or of graduate students working for advanced academic degrees.,0.0
"Direct rig crews in drilling and other activities, such as setting up rigs and completing or servicing wells.",0.0
Direct safety operations in emergency situations.,0.0
"Direct scholarship, fellowship, and loan programs, performing activities such as selecting recipients and distributing aid.",0.0
"Direct security activities at derailments, fires, floods, or strikes involving railroad property.",0.0
"Direct service of legal documents, such as subpoenas, warrants, notices of assessment, and garnishments.",0.0
Direct setup of remote facilities and install or cancel programs at remote stations.,0.0
"Direct shows, productions, and plays.",0.0
"Direct special activities or events, such as aquatics, gymnastics, or performing arts.",0.0
Direct specified departments or units to prepare and ship orders to designated locations.,0.0
"Direct spouts and position receptacles, such as bins, carts, or containers, so they can be loaded.",0.0
Direct students boarding and exiting the school bus.,0.0
Direct students evacuating the bus during safety drills.,0.0
Direct studio productions.,0.0
Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.0
"Direct team activities, establishing task priorities, scheduling and tracking work assignments, providing guidance, and ensuring the availability of resources.",0.0
"Direct technical aspects of newscasts and other productions, checking and switching between video sources and taking responsibility for the on-air product, including camera shots and graphics.",0.0
"Direct technicians, engineering designers or other technical support personnel as needed.",0.0
"Direct the analysis, development, and operation of complete computer systems.",0.0
"Direct the breeding or raising of stock, such as cattle, poultry, or honeybees, using recognized breeding practices to ensure stock improvement.",0.0
Direct the casting of the concrete and supervise laborers who use shovels or special tools to spread it.,0.0
Direct the collection and preparation of laboratory samples as requested by regulatory agencies.,0.0
"Direct the collection and testing of air, water, gas, or solid samples to determine radioactivity levels or to ensure appropriate radioactive containment.",0.0
Direct the compilation of summary sheets that show wager amounts and payoffs for races or events.,0.0
Direct the development or implementation of policies and procedures related to compliance throughout an organization.,0.0
"Direct the distribution of complimentary hotel rooms, meals, or other discounts or free items given to players, based on their length of play and betting totals.",0.0
"Direct the engineering of water control, treatment, or distribution projects.",0.0
"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",0.0
Direct the implementation of energy management projects.,0.0
"Direct the installation of operating systems, network or application software, or computer or network hardware.",0.0
"Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as heating, ventilating, and air conditioning (HVAC) or water systems.",0.0
"Direct the operation and organization of kitchens and all food-related activities, including the presentation and serving of food.",0.0
Direct the operations of a planetarium.,0.0
Direct the operations of short stay or specialty units.,0.0
"Direct the overall operations of animal hospitals, clinics, or mobile services to farms.",0.0
"Direct the policies and departments of newspapers, magazines and other publishing establishments.",0.0
"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",0.0
Direct the preparation of regular and special budget reports.,0.0
"Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.",0.0
"Direct the requisition, collection, labeling, storage, or shipment of specimens.",0.0
"Direct the surveying, staking, or laying-out of construction projects.",0.0
"Direct the tracking of defects, test results, or other regularly reported quality control data.",0.0
"Direct the training of firefighters, assigning of instructors to training classes, and providing of supervisors with reports on training progress and status.",0.0
Direct the work of logistics analysts.,0.0
"Direct the work of nurses, residents, or other staff to provide patient care.",0.0
"Direct the work of technicians and information technology staff applying bioinformatics tools or applications in areas such as proteomics, transcriptomics, metabolomics, or clinical bioinformatics.",0.0
Direct the work of wardrobe crews during dress rehearsals or performances.,0.0
Direct theatre productions and projects.,0.0
Direct traffic flow and reroute traffic in case of emergencies.,0.0
"Direct traffic movement or warn of hazards, using signs, flags, lanterns, and hand signals.",0.0
Direct trained survey interviewers.,0.0
"Direct truck drivers backing vehicles into loading bays and cover, uncover, or secure loads for delivery.",0.0
Direct updates and changes in survey implementation and methods.,0.0
Direct urban traffic counting programs.,0.0
"Direct validation activities, such as protocol creation or testing.",0.0
Direct welders to build up low spots or short pieces with weld.,0.0
Direct work crews in the cleaning and repair of furnace walls and flooring.,0.0
Direct work of contract security officers or other loss prevention agents.,0.0
"Direct work of statistical clerks, statisticians, and others who compile and evaluate research data.",0.0
Direct workers compiling summary sheets for each race or event to record amounts wagered and amounts to be paid to winners.,0.0
Direct workers engaged in operating machinery that regulates the flow of materials and products.,0.0
Direct workers engaged in placing blocks or outriggers to prevent capsizing of machines when lifting heavy loads.,0.0
"Direct workers engaged in product measurement, inspection, and testing activities to ensure quality control and reliability.",0.0
"Direct workers in transportation or related services, such as pumping, moving, storing, or loading or unloading of materials.",0.0
Direct workers on cutting teams.,0.0
Direct workers who are assembling or disassembling equipment or cleaning parts.,0.0
"Direct, and participate in, forest fire suppression.",0.0
"Direct, coordinate, and evaluate activities of staff and interns engaged in patient assessment and treatment.",0.0
"Direct, coordinate, and evaluate the activities of personnel, including support staff engaged in administering academic institutions, departments, or alumni organizations.",0.0
"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",0.0
"Direct, coordinate, or advise personnel in test procedures for analyzing components or physical properties of materials.",0.0
"Direct, coordinate, or supervise the patient care activities of nursing or support staff.",0.0
"Direct, coordinate, organize, or prioritize biological laboratory activities.",0.0
"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",0.0
"Direct, or assist other workers in, treatment or extermination processes to eliminate or control rodents, insects, or weeds.",0.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.0
"Direct, review, or approve project design changes.",0.0
"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",0.0
"Direct, supervise, assess, and communicate with supportive personnel.",0.0
"Disassemble and assemble machines, according to specifications and using hand and power tools.",0.0
"Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools.",0.0
Disassemble and clean anesthesia equipment.,0.0
"Disassemble and inspect motors to locate defective parts, using mechanic's hand tools and gauges.",0.0
"Disassemble and overhaul internal combustion engines, pumps, generators, transmissions, clutches, and differential units.",0.0
Disassemble and reassemble equipment for inspection.,0.0
"Disassemble and reassemble machines or equipment or remove and reattach vehicle parts or trim, using hand tools.",0.0
"Disassemble and reinstall existing kitchen cabinets, or assemble and install prefabricated kitchen cabinets and trim in conjunction with appliance installation.",0.0
Disassemble and remove damaged or worn pipe.,0.0
"Disassemble and repair mechanical control devices or valves, such as regulators, thermostats, or hydrants, using power tools, hand tools, and cutting torches.",0.0
Disassemble and store equipment after performances.,0.0
Disassemble appliances so that problems can be diagnosed and repairs can be made.,0.0
"Disassemble axles to repair, adjust, and replace defective parts, using hand tools.",0.0
Disassemble broken or defective equipment to facilitate repair and reassemble equipment when repairs are complete.,0.0
"Disassemble defective electrical equipment, replace defective or worn parts, and reassemble equipment, using hand tools.",0.0
